geoid,cong_dist_id
360810945001027,3
360810945002000,3
360810945002001,3
360810945002018,3
360810973001000,3
360810973001001,3
360810973001002,3
360810973001004,3
360810973001005,3
360810973001006,3
360810973001007,3
360810973001008,3
360810973001009,3
360810973001010,3
360810973001011,3
360810973001012,3
360810973001013,3
360810973001014,3
360810973001015,3
360810973001016,3
360810973002000,3
360810973002001,3
360810973002002,3
360810973002003,3
360810973002004,3
360810973002005,3
360810973002006,3
360810973002007,3
360810973003000,3
360810973003001,3
360810973003002,3
360810973003003,3
360810973003004,3
360810973003005,3
360810973003006,3
360810973003007,3
360810973003008,3
360810981000001,3
360810981001000,3
360810981001001,3
360810981001002,3
360810981001003,3
360810981001004,3
360810981001005,3
360810981001006,3
360810981001007,3
360810981001008,3
360810981001009,3
360810981001010,3
360810981001011,3
360810981001012,3
360810981001013,3
360810981001014,3
360810981001015,3
360810981002000,3
360810981002001,3
360810981002002,3
360810981002003,3
360810981002004,3
360810981002005,3
360810981002006,3
360810981002007,3
360810981002008,3
360810981002009,3
360810981002010,3
360810981002011,3
360810981002012,3
360810981002013,3
360810981002014,3
360810987000001,3
360810987001000,3
360810987001001,3
360810987001002,3
360810987001003,3
360810987001004,3
360810987001005,3
360810987001006,3
360810987001007,3
360810987001008,3
360810987001009,3
360810987001010,3
360810987001011,3
360810987001012,3
360810987002000,3
360810987002001,3
360810987002002,3
360810987002003,3
360810987002004,3
360810987002005,3
360810987002006,3
360810987002007,3
360810987002008,3
360810987002009,3
360810987002010,3
360810987002011,3
360810987002012,3
360810987002013,3
360810987002014,3
360810987002015,3
360810991000001,3
360810991001000,3
360810991001001,3
360810991001002,3
360810991001003,3
360810991001004,3
360810991002000,3
360810991002001,3
360810991002002,3
360810991003000,3
360810991003001,3
360810991003002,3
360810991003003,3
360810991003004,3
360810991003005,3
360810991003006,3
360810991003007,3
360810991003008,3
360810991003009,3
360810991003010,3
360810991003011,3
360810991003012,3
360810991003013,3
360810991003014,3
360810991003015,3
360810991003016,3
360810991003017,3
360810991003018,3
360810991004000,3
360810991004001,3
360810991004002,3
360810991004003,3
360810991004004,3
360810991004005,3
360810991004006,3
360810991004007,3
360810991004008,3
360810991004009,3
360810991004010,3
360810991004011,3
360810991004012,3
360810991004013,3
360810991004014,3
360810991004015,3
360810991004016,3
360810991004017,3
360810991004018,3
360810991004019,3
360810991004020,3
360810991004021,3
360810991004022,3
360810991004023,3
360810991005000,3
360810991005001,3
360810991005002,3
360810991005003,3
360810991005004,3
360810991005005,3
360810991005006,3
360810991005007,3
360810991005008,3
360810991005009,3
360810991005010,3
360810991005011,3
